LWL number	"not in catalogue...(500)"	BM reg number	quoted description	in BM online (520)	264 year(s)	655 years	majority year	description
1269907	False	[]	True	True	[]	[]	0000	"Heading to a printed song. Three fashionably dressed men sit at a round table under a mulberry-tree, over wine, pipes, and mulberries. One sings the song (as printed), glass in hand and pointing up to the tree. On the ground is a lighted lantern. In the background a park slopes upwards towards a country house."--British Museum online catalogue.
1763787	False	[]	False	False	[]	['1770', '1779', '1770', '1779']	1770	An album of drawings by Henry William Bunbury, assembled by Horace Walpole (ca. 1776-82), and mounted with captions by Walpole along with prints etched or engraved after Bunbury designs by: W. Dickinson, F. Bartolozzi, Thomas Watson, J. Bretherton, J. Baldrey, and P.W. White. Includes a series "Hints to bad horsemen" and a portrait by Joshua Reynolds of a young Bunbury engraved by T. Blackmore.
4690061	False	[]	False	False	[]	['1797', '1797']	1797	Two men, one a parson on horseback, the other a lawyer walks by his side. They closely resemble each other in profile and appearance except that the latter is thin and angular. The ungainly horse walks slowly (left to right) along a country road, beside which is a milestone: 'Derby II.  Leicester 17. London 116'. In the distance is a village church.
4710140	False	[]	False	False	[]	['1782']	1782	A scene outside a posting inn: A man, his hat flying off, rides right to left clutching his horse round the neck as he has lost his stirrups. The horse is rearing, startled by the drum and fifes of a recruiting party in Guards' uniforms led by an officer with a drawn sword and followed by three recruits wearing ribbon favours in their hats. The rider is fashionably dressed in riding clothes, a pair of curling tongs falls from his pocket; a box which he was carrying has fallen to the ground and various articles of the barber's trade have fallen out: tresses of hair, a packet of "Powder", a comb, razor, &c.  In the background is a three-storied inn, with bay-windows on all floors. Spectators watch from the windows. The sign hangs from a standard (right); behind (left) are outhouses inscribed "Licensed to [hire] post horses"; a coach stands in front of them.
4818032	False	[]	False	False	[]	['1775', '1775']	1775	A man sitting in an armchair with his gouty foot on a footstool in front of him, looking up in pain at a maidservant who pours water from a kettle on the leg, distracted by a page standing behind the chair, another woman drinks beside the door in the background on the right, and a little boy takes something from the table on the left; after Penny; scratched-letter state.
4834991	False	[]	False	False	[]	['1798']	1798	An elderly woman questions a man dressed in a curious combination of professional military uniform and shopkeeper's attire with an apron tide around his waist and a musket propped against his shoulder. The woman exclaims, "Thee looks't very genteel indeed Tommy, I should hardly ha known thee, but I hope the shop is not quite neglected, trade must be minded thee know'st" while the shoppkeeper/soldier responds, "Trade d--n trade! I'm a gemmen and a soljer as Mister Wind-hum says".
4887049	True	[]	False	False	[]	['1740', '1740']	1740	A woman (Liberty?) stands on top the prostrate figures of a clergyman and a lion inside a large courtyard. A bird (a dove of peace?) looks on from the eaves of the building. The clergyman wears a wig and clerical bands. The woman, with a laurel crown on her head, holds in her left hand a staff of liberty surmounted by a cap of liberty. In her raised right hand she holds an extractor with the last of lion's teeth. His other teeth lie scattered on the ground. Dialogue ribbons are attached to the woman, clergyman, and bird. The woman says, "Daniel is conquer'd, the lion slain. Let peace & unity for ever reign." A sign "Coach office" hangs over the courtyard gate.
4887383	True	[]	False	False	[]	['1741', '1741', '1741', '1741']	1741	Three men sitting at a table, two of them holding drinking glasses, one opening a barrel. A waiter is filling more glasses on a tray and the preacher of the sermon is holding a glass and an open book with the word "Malt" on the page. A second table (covered with a cloth and holding more glasses, a tankard, a flask and a pipe), a barrel on a stand and a chamber pot are also present. A list of ten items is posted on the wall with the title "Customs to be observed by this Society." At the foot of the image is the line "Why should the drunkard strive his acts to smother, drink runs but from one Hogshead to another."
4887410	True	[]	False	False	[]	['1741', '1741', '1741', '1741']	1741	A young, richly dressed and very tipsy youth staggers towards the viewer over the top of a hill. His wig is flying off; his neckwear is dissarranged. In the crook of his right arm he carries a straw-covered wine bottle and a half full wine glass in his right hand. His tricorne hat flies off to his left. In the background, at the base of the hilll, is a town. Just below the top of the hill, to the right of image, appears a woman supporting a very sick drinker. To the left, in the background, is a tavern with a table set out on the lawn. Four drinkers, in various stages of drunkenness, sit around the table. In upper left corner, above the tavern, is engraved a screen with three staffs of music.
4888514	True	[]	True	True	[]	['1745', '1745', '1745']	1745	"Scene on a road near St. Pancras church, which is visible in the background; two women and two men stand in road, one woman with her arms tied and a look of anguish on her face, the other woman raises her arm as one of the men points towards her; illustration to Johnson's 'History of ... Highwaymen"--British Museum online catalogue.
4889090	True	[]	False	False	[]	['1746', '1746', '1746', '1746']	1746	A mock playing card folded lengthwise in center to create four 'pages.' The title, quotation from The Beggar's opera and imprint create the last, external page; opposite is an ace of hearts as the first, also external page when the sheet is folded. On the second 'page' inside is an image, opposite fourteen lines of verse on the third 'page.' The image shows a lady in a large hoop-petticoat standing by a dressing table in an elegant room and ordering out of the room a dwarfish man, probably a servant, with a cap in one hand and a playing card with a red letter 'A' in another. He is leaving the room. Among the paintings is a large portrait of Cupid. Several books are on a stool near the door and on the floor next to the stool lies a volume of 'Rochester's Poems'. The verse begins as follows: Sir Francis, my lady & both the Miss D---nts / Sincerely return Lady Dorothy's compliments ...
4889157	True	[]	False	False	[]	['1746', '1746', '1746', '1746']	1746	A mock playing card folded lengthwise in center to create four 'pages.' The title, imprint and the image create the first external page; opposite is the three of spades as the fourth, also external 'page' when the sheet is folded. The image shows an interior of a church with its pews filled with people listening to the preacher in the pulpit while a  young man slips a piece of paper into the hand of a young woman in the last pew on the right. On 'pages' 2 and 3 is the 'genuine copy of a letter' and the conundrums, beginning  as follows: My  dear, dear Lady / Last Sunday being at St. J---s's Church, the agreeable / impudent Mr. R--- with his usual  familiarity ...
4891342	True	[]	False	False	[]	['1750', '1750']	1750	A full-length satirical portrait of a man seated in a chair in profile to left, holding a hat under his right arm, his left hand inside his waistcoat. He has a large nose and a protruding lower lip, with almost no chin and is pointing to the left with his right hand.
4891484	True	[]	False	False	[]	['1751', '1751']	1751	A scene in a park showing a number of elegantly dressed men and women walking and bowing and greeting each other. In the background are several buildings, one of which has scaffolding erected in front of it.
4891678	True	[]	False	False	[]	['1754', '1754']	1754	A young woman and a monk sit under two trees while a monk sews or embroiders a piece of fabric with floral motifs. They are being observed by a man hiding behind the trees. In the background on the left is a church.
4891778	True	[]	False	False	[]	['1755', '1755']	1755	An interior view of Westminster Hall, with lawyers and members of the Court talking in small groups. Around the perimeter book stalls, printersellers and book cases.
4894589	False	[]	False	False	[]	['1764', '1764']	1764	A tall soldier with a pike in his right hand, holds in his left one the leading strings of a child officer. The officer, moving with an awkward gate, is trying to balance on his thigh a pole of an enormous British flag. His oversized sword dangles below his knees. Behind the two of them, in the background, several soldiers with muskets on their shoulders march by.
5986002	True	[]	False	False	[]	['1796', '1796']	1796	Two fashionably dressed women with large feathers in their hats.  One lady carries a parasol; the other's arm is held by an equally fashionable gentleman.  A dog jumps excitedly at their feet. They stand in the lane in a park (presumably St. James's) before a bench; an allée in the background on the right.
6044406	False	[]	False	False	[]	['1773', '1773']	1773	A macaroni, carrying a very tall walking cane, enrages an Irish vegetable seller when he upsets her mug of beer on the pavement.  In her rage, she graps hold of his long pony tail attached to his toupeé, knocking his hat off as she pulls his head back. He looks startled but slightly amused.  Beside her on the pavement is a large basket filled with vegetables (possibly cauliflower).
6152199	False	[]	False	False	[]	['1784', '1784']	1784	A dentist wearing a bag wig stands before an elderly woman in a chair as he works on her teeth. Behind him a younger woman looks on with concern and a young black serving boy grins at the viewer. Through the window is visible a portion of St. James's Palace.
6152576	True	[]	False	False	[]	[]	0000	A fat and bewigged dentist pokes at the mouth of a homely woman wearing a cap and low-cut dress. She is seated in a straight chair on a patterned carpet, with a large picture of a mouth and teeth hanging on the wall behind the pair. Beneath the title, text as follows: "I cures all the disorders of the mouth. I draws teeth in a minute without pain. I makes natural or artificial teeth & have invented a substance that answers the purpose of gums."
6172789	False	[]	True	True	[]	['1795', '1795']	1795	"A ragged 'botching tailor' is climbing out of his bulk or stall (right) to attack with his goose a tailor who hastens from him, turning to snip his shears contemptuously. Above the penthouse stall is a placard, 'Simon Snip - maks & mendes Mens & Buoys reddy mad Close. N.B. nete Gallows for Breaches.' A garment and a pair of braces hang on a line; within a window is a sheet of patterns. The other, who is neatly dressed, carries a coat under his arm; a book of patterns protrudes from his coat pocket. A street receding in perspective (right) and the façade of a dignified house (left) form a background."--British Museum online catalogue.
6204263	False	[]	True	True	[]	['1786', '1786', '1793']	1786	"A jovial and enormously stout man sits on a chair holding a large frothing jug in his right hand, a pipe in his left. Behind him are trees. His contour resembles that of a Toby jug. Beneath the design are verses beginning:  'Dear Tom this brown Jug that now foams with mild Ale (In which I will drink to sweet Nan of the Vale) was once Toby Fillpot, a thirsty old Soul ...'  The verse describes how a potter formed the jug out of the clay of Toby when he had long been buried."--British Museum online catalogue.
6329300	False	[]	False	False	[]	['1785', '1785']	1785	Two designs on the same plate. Upper design: A young woman lies under a tree asleep, partly supported by a small beer barrel; a rake is beside her. Next her a young man sits up yawning and stretching. A dog sits beside them; in the distance are sheep. Lower design:  A young woman (right) lies full length on a sofa; next her in the opposite corner of the sofa is an elderly man in regimentals, also asleep. The feet of both rest on a chair (left). A cat sleeps on the floor.
6349071	False	[]	False	False	[]	['1775', '1775']	1775	Depicts a semi-nude seated female figure holding a caduceus before whom dance three putti, while two putti in the air above approach bearing a basket and grape vine. Within an oval border of olive and oak leaves resting on a pedestal containing the text.
6436296	False	[]	False	False	[]	['1775', '1775']	1775	A lady holding a fan is seated in a chair and tipped backwards by the weight of her coffure which appears to be several feet high. Two young men also having extremely tall coiffures attend her, one pointing to the formal gardens and the other bending over a small boy in leading strings. A gardener on a ladder stands above the group, while a small dog urinates on the woman's skirts.
6438334	False	[]	False	False	[]	['1775', '1775', '1775', '1775']	1775	A man wearing laced coat and sword and holding a snuff box leans on an elaborately carved console table of the pump room at Bath, admiring himself in a mirror. An illustration for the "History of Captain S_: or, the Bath Adonis."
6441464	True	[]	False	False	['1775', '1775']	['1775', '1775']	1775	Facing right, a full-length pot-bellied Andrew Foulis holds book entitled (in Greek characters) Homer.
