SM.ratio	short	BM online	LWL description	BMSat description
0.96	471	True	"A fashionably dressed man stands in back view, a round hat in his hand, a bludgeon under his left arm. He wears a tail-coat with a large cape-like collar with revers. Above this appears the high stiff collar at the back of his waistcoat. His hair falls on his coat collar and his shoulders are frosted with hair-powder *BRACKETED* , cf. BMSats 7537, 8192. He wears half-boots and breeches tied below the knee with a bunch of strings." - -British Museum online catalogue.	A fashionably dressed man stands in back view, a round hat in his hand, a bludgeon under his left arm. He wears a tail-coat with a large cape-like collar with revers. Above this appears the high stiff collar at the back of his waistcoat. His hair falls on his coat collar and his shoulders are frosted with hair-powder *BRACKETED* , cf. BMSats 7537, 8192. He wears half-boots and breeches tied below the knee with a bunch of strings.
0.96	476	True	"Buckingham *BRACKETED* , holding a dark lantern, advances conspiratorially towards the closed door of the House of Commons, a high narrow chapel with arched windows, flanked by narrow buttresses and a spire and crenellated parapet. In the cloudy sky is a small crescent moon. A beam of light descends on him from the spy-glass held to the eye of the King in the upper left corner of the design, obliterating the ray from the dark-lantern." - -British Museum online catalogue.	Buckingham *BRACKETED* , holding a dark lantern, advances conspiratorially towards the closed door of the House of Commons, a high narrow chapel with arched windows, flanked by narrow buttresses and a spire and crenellated parapet. In the cloudy sky is a small crescent moon. A beam of light descends on him from the spy-glass held to the eye of the King in the upper left. corner of the design, obliterating the ray from the dark-lantern.
0.96	252	False	Satire on royalty, episcopacy and the law, after a print by Hogarth; a group of nine composite figures, the most prominent of which are a king, whose head is represented by a coin, a bishop whose head is a jew's harp, and a judge whose head is a gavel.	Satire on royalty, episcopacy and the law, after a print by Hogarth; a group of nine composite figures, the most prominent of which are a king, whose head is represented by a coin, a bishop whose head is a jew's harp, and a judge whose head is a gavel; proof before letters.
0.96	1106	True	"A design in six compartments, arranged in two rows. *BRACKETED* *TRANSCRIBED* A ragged match-seller, with a basket slung from his shoulder and a bundle of matches in his hand, cries: *TRANSCRIBED* *BRACKETED* *TRANSCRIBED* . A poulterer *BRACKETED* sits on a stool beside his stall *BRACKETED* from which hang two turkeys. A dog takes offal from the table in front of it. *BRACKETED* *BRACKETED* *TRANSCRIBED* . A man collecting letters hurries along, ringing his bell; he holds a post-bag inscribed *TRANSCRIBED* A maidservant stands at a door holding out a letter for his bag. *BRACKETED* *TRANSCRIBED* . A grave-digger stands in a grave piling earth against a tombstone in a country church-yard. *BRACKETED* *TRANSCRIBED* . A bearded Jew buying old clothes stands with his sack across his shoulder, two hats on his head and two in his hand. He shouts *TRANSCRIBED* A maidservant stands in a doorway *BRACKETED* holding a coat. *BRACKETED* *TRANSCRIBED* . A gardener, spade in hand, points to his pot-plants. On the right are a frame and the corner of a green-house." - -British museum online catalogue.	A design in six compartments, arranged in two rows. *BRACKETED* *TRANSCRIBED* A ragged match-seller, with a basket slung from his shoulder and a bundle of matches in his hand, cries: *TRANSCRIBED* *BRACKETED* *TRANSCRIBED* . A poulterer *BRACKETED* sits on a stool beside his stall *BRACKETED* from which hang two turkeys. A dog takes offal from the table in front of it. *BRACKETED* *BRACKETED* *TRANSCRIBED* . A man collecting letters hurries along, ringing his bell; he holds a post-bag inscribed *TRANSCRIBED* A maidservant stands at a door holding out a letter for his bag. *BRACKETED* *TRANSCRIBED* . A grave-digger stands in a grave piling earth against a tombstone in a country church-yard. *BRACKETED* *TRANSCRIBED* . A bearded Jew buying old clothes stands with his sack across his shoulder, two hats on his head and two in his hand. He shouts *TRANSCRIBED* A maidservant stands in a doorway *BRACKETED* holding a coat. *BRACKETED* *TRANSCRIBED* . A gardener, spade in hand, points to his pot-plants. On the right are a frame and the corner of a green-house. Plate numbered 171. 1 October 1812 Hand-coloured etching.
0.94	329	True	"A stout youngish man, fashionably dressed and wearing boots of Hessian pattern, walks in profile to the right, on a flagged pavement. His nose is exaggeratedly Jewish and in the roadway are pigs *BRACKETED* scampering off, only their hind-quarters visible said to indicate the converted Jew." - -British Museum online catalogue.	A stout youngish man, fashionably dressed and wearing boots of Hessian pattern, walks in profile to the right, on a flagged pavement. His nose is exaggeratedly Jewish and in the roadway are pigs *BRACKETED* scampering off, only their hind-quarters visible said to indicate the converted Jew.
0.96	485	True	"A lady stands in profile to the left removing her gloves; her head is turned to the spectator. Against the wall of the room, which appears from the carpet and an oval mirror in a carved frame to be a drawing-room, stands a commode, which if the lid were closed would resemble an ordinary chair. She wears the projections at bust and waist which were the subjects of caricature c. 1786-7 *BRACKETED* . Her hat, poised sideways, has a steeple crown." - -British Museum online catalogue.	A lady stands in profile to the left removing her gloves; her head is turned to the spectator. Against the wall of the room, which appears from the carpet and an oval mirror in a carved frame to be a drawing-room, stands a commode, which if the lid were closed would resemble an ordinary chair. She wears the projections at bust and waist which were the subjects of caricature c. 1786-7 *BRACKETED* . Her hat, poised sideways, has a steeple crown.
0.95	856	True	"A lady wearing an enormous hooped petticoat, long pointed stomacher, a calash hood *BRACKETED* over a large plain cap, stands with a small nosegay in her left hand, and with a closed fan held to her cheek. She looks down at a young woman *BRACKETED* , who bends forward in profile to the left, with the stoop of 1817, see British Museum Satires No. 12939. The modern woman wears a flaunting bonnet with a cylindrical crown, a scoop turned up from the face, trimmed with flowers and many feathers. She has bare breasts and shoulders, a very high waist, and projecting skirt *BRACKETED* , and large bishop sleeves; her arms hang downwards in the fashionable pose; in her right hand is a large reticule. Her flat slippers are bound to the ankles and legs with ribbons, en cothurne. Below the upper margin: *TRANSCRIBED* ." - -British Museum online catalogue.	A lady wearing an enormous hooped petticoat, long pointed stomacher, a calash hood *BRACKETED* over a large plain cap, stands with a small nosegay in her left hand, and with a closed fan held to her cheek. She looks down at a young woman *BRACKETED* , who bends forward in profile to the left, with the stoop of 1817, see No. 12939. The modern woman wears a flaunting bonnet with a cylindrical crown, a scoop turned up from the face, trimmed with flowers and many feathers. She has bare breasts and shoulders, a very high waist, and projecting skirt *BRACKETED* , and large bishop sleeves; her arms hang downwards in the fashionable pose; in her right hand is a large reticule. Her flat slippers are bound to the ankles and legs with ribbons, en cothurne. Below the upper margin: *TRANSCRIBED* Plate numbered 187.
0.91	1021	True	"Groups of dancers practise figures of a cotillion in a ballroom with a small musician's gallery supported on pillars, in which are an oboist, two violinists, and a harpist, playing intently and paying no attention to a man who stands below, with outstretched arms, shouting directions. The room is lit by candles in wall brackets. In the centre of the balcony is an oval medallion: a man plays a lyre and three nude nymphs dance. Several of the dancers hold papers of directions headed *TRANSCRIBED* , with a description of figures *TRANSCRIBED* to *TRANSCRIBED* . The scene is one of confusion. On the left persons stand inspecting the dancers. One man only is dressed as a blood of the period with cropped hair, high-collared waistcoat, *TRANSCRIBED* , and long breeches *BRACKETED* . He stands *BRACKETED* superciliously inspecting the dancers through an eye-glass." - -British Museum online catalogue.</marc:subfield>" , *TRANSCRIBED* > The pictures in the image amplify the subject: Nymphs dancing to music of lyre.	Groups of dancers practise figures of a cotillion in a ballroom with a small musician's gallery supported on pillars, in which are an bassoonist, two violinists, and a harpist, playing intently and paying no attention to a man who stands below, with outstretched arms, shouting directions. The room is lit by candles in wall brackets. In the centre of the balcony is an oval medallion: a man plays a lyre and three nude nymphs dance. Several of the dancers hold papers of directions headed *TRANSCRIBED* , with a description of figures *TRANSCRIBED* to *TRANSCRIBED* . The scene is one of confusion. On the left persons stand inspecting the dancers. One man only is dressed as a blood of the period with cropped hair, high-collared waistcoat, *TRANSCRIBED* , and long breeches *BRACKETED* . He stands *BRACKETED* superciliously inspecting the dancers through an eye-glass. See also BMSat 7441.
0.84	547	True	"Pitt in the guise of a robber who is about to be hanged. He aims a pistol at the head of a cobbler, saying, *TRANSCRIBED* . The cobbler, kneeling hat in hand, in profile to the left, says, *TRANSCRIBED* . Part of his bulk or stall appears behind him *BRACKETED* . Behind Pitt *BRACKETED* Richmond kneels on the ground, holding out his cocked hat for the coins which the former drops into it; he points to houses of playing-cards which are round him on the ground and represent his scheme of fortifications ..." - -British Museum online catalogue.	Pitt in the guise of a robber who is about to be hanged. He aims a pistol at the head of a cobbler, saying, *TRANSCRIBED* . The cobbler, kneeling hat in hand, in profile to the left, says, *TRANSCRIBED* . Part of his bulk or stall appears behind him *BRACKETED* . Behind Pitt *BRACKETED* Richmond kneels on the ground, holding out his cocked hat for the coins which the former drops into it; he points to houses of playing-cards which are round him on the ground and represent his scheme of fortifications, see BMSat 6921, &c. In the background is a gibbet from which hang two nooses inscribed: *TRANSCRIBED* Beneath the design is engraved *BRACKETED* : *TRANSCRIBED*
0.97	703	True	"Four men stand in the pillory, in pairs. The arrangement is not that of the actual pillory: they stand on a cross-bar which connects two high posts, one at each side of the design, each of which supports a board, through the holes in which are thrust the heads and hands of two victims. The cross-bar is much above the level of the ground. In the centre of the design, below the cross-bar, is inset the head of Fox in an oval, on a much larger scale than the figures; he has an expression of scowling perplexity, The men in the pillory say *BRACKETED* , *TRANSCRIBED* ; *TRANSCRIBED* ; *TRANSCRIBED* ; and, *TRANSCRIBED* Beneath the design is engraved: *TRANSCRIBED* - -British Museum online catalogue.	Four men stand in the pillory, in pairs. The arrangement is not that of the actual pillory: they stand on a cross-bar which connects two high posts, one at each side of the design, each of which supports a board, through the holes in which are thrust the heads and hands of two victims. The cross-bar is much above the level of the ground. In the centre of the design, below the cross-bar, is inset the head of Fox in an oval, on a much larger scale than the figures; he has an expression of scowling perplexity, The men in the pillory say *BRACKETED* , *TRANSCRIBED* ; *TRANSCRIBED* ; *TRANSCRIBED* ; and, *TRANSCRIBED* Beneath the design is engraved: *TRANSCRIBED* .
0.92	529	True	"A short fat man *BRACKETED* dressed as a military officer, clasps the inflated petticoats of a thin woman who walks away from him, looking over her left shoulder, her hand raised in a negative gesture. She is much taller than her admirer, and shows a hideous profile, her mouth wide open; her attitude is theatrical. She wears a high cap and the extended petticoats which had recently been fashionable *BRACKETED* . He looks up at her with a yearning smile. Both are grotesquely caricatured." - -British Museum online catalogue.	A short fat man *BRACKETED* dressed as a military officer, clasps the inflated petticoats of a thin woman who walks away from him, looking over her left shoulder, her hand raised in a negative gesture. She is much taller than her admirer, and shows a hideous profile, her mouth wide open; her attitude is theatrical. She wears a high cap and the extended petticoats which had recently been fashionable *BRACKETED* . He looks up at her with a yearning smile. Both are grotesquely caricatured. Beneath the design is etched: *TRANSCRIBED* .
